Objects
100
,,Global Angle belly:belly,,,,,,Global Angle belly_mc:belly_mc,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle left_chest_mc:left_chest_mc,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_chest_mc:right_chest_mc,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_hand_mc:right_hand_mc,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
10,0,0.038752,0.033397,-1.624289,-1170.123047,-100.695770,1145.145752,0.025464,0.047148,1.448267,352.886932,-172.803070,1133.040894,0.375500,-0.346422,-1.784247,-1226.356567,3.750750,1359.739014,0.006399,0.020234,1.522920,417.779877,-288.780579,1393.709839,0.211601,0.117327,-1.512718,-1233.660034,-213.922531,1359.319824,0.122794,0.129483,1.607635,420.761536,-99.301552,1403.839966,-0.341920,0.076630,0.313642,-759.819763,-231.455688,1476.968872,-0.362772,1.129993,2.705635,-19.279303,11.745339,1453.193604
11,0,0.039007,0.032853,-1.620533,-1169.876953,-100.555786,1145.112915,0.022887,0.049480,1.447422,352.959534,-172.863068,1133.087646,0.384745,-0.353477,-1.788818,-1225.980469,3.812683,1359.833740,0.007119,0.019622,1.521714,418.322845,-289.120880,1393.721191,0.229303,0.111214,-1.525977,-1234.336304,-213.893692,1358.917358,0.099858,0.101764,1.600381,421.008820,-99.652260,1404.065796,-0.347938,0.069991,0.344376,-765.183289,-231.053207,1478.511841,-0.383277,1.069264,2.694329,-27.585098,12.057186,1452.171753
12,0,0.039797,0.035480,-1.617075,-1169.515503,-100.309944,1144.951416,0.021373,0.051165,1.445463,353.049744,-172.916504,1133.168335,0.380166,-0.345587,-1.772035,-1225.844971,3.864275,1359.881836,0.004659,0.028186,1.523260,418.929230,-289.303894,1393.487915,0.231863,0.123483,-1.539815,-1234.911621,-214.244186,1358.095337,0.088006,0.099895,1.595685,421.071289,-100.103455,1404.284058,-0.342473,0.022975,0.340519,-772.179504,-230.208908,1480.562866,-0.410705,1.030405,2.689270,-35.091885,13.212215,1450.978394
13,0,0.036799,0.033402,-1.612575,-1169.302246,-100.245148,1144.787354,0.030906,0.049890,1.438814,353.256439,-172.934464,1133.470825,0.383264,-0.329837,-1.776474,-1225.057251,3.624437,1359.505127,0.008060,0.029493,1.528412,419.413696,-289.638458,1393.522949,0.264216,0.157398,-1.623763,-1236.844360,-213.489929,1356.823853,0.069805,0.090618,1.591532,420.952087,-100.634148,1404.522705,-0.335345,-0.004409,0.355378,-779.660583,-229.561829,1482.742310,-0.463488,1.000447,2.694869,-41.620594,13.869775,1448.840454
14,0,0.040852,0.032246,-1.610781,-1169.082764,-100.001762,1144.831909,0.031185,0.050858,1.436657,353.329285,-172.999054,1133.595337,0.378783,-0.343913,-1.781113,-1224.321167,3.442312,1359.406982,0.007166,0.027866,1.534062,420.029877,-290.004028,1393.588013,0.250493,0.119260,-1.552665,-1234.821167,-214.387100,1357.155640,0.093915,0.094124,1.610695,421.123566,-100.811615,1404.157349,-0.347184,-0.028747,0.363447,-787.837219,-229.381363,1484.969360,-0.483864,0.989803,2.670442,-48.056683,15.594732,1446.764893
15,0,0.051757,0.041964,-1.613762,-1168.847656,-99.949989,1144.416748,0.031279,0.051106,1.434643,353.389923,-173.098602,1133.724854,0.371184,-0.343808,-1.776363,-1223.872681,3.277019,1359.365234,0.010122,0.031101,1.547134,420.426514,-290.456055,1393.584229,0.245761,0.115389,-1.542693,-1234.428589,-214.585068,1356.960083,0.109343,0.114152,1.617913,421.122467,-101.264442,1404.101929,-0.342157,-0.058836,0.370453,-796.316833,-229.393478,1487.057129,-0.501592,0.982662,2.639208,-53.720432,17.638420,1444.258667
16,0,0.037015,0.035022,-1.643930,-1168.367554,-99.518379,1144.409668,0.022514,0.053621,1.437711,353.317810,-173.261581,1133.669067,0.363705,-0.360903,-1.783329,-1223.161987,3.240113,1359.738525,0.010406,0.030946,1.542806,420.949982,-290.932556,1393.604248,0.267560,0.083549,-1.581446,-1235.114746,-213.972687,1356.479004,0.098393,0.119243,1.612306,420.903992,-101.877541,1404.290283,-0.330802,-0.100884,0.380288,-805.445618,-229.779892,1489.260986,-0.517106,0.970548,2.610566,-58.529575,19.690004,1441.392822
17,0,0.040583,0.031190,-1.636531,-1168.487061,-99.429794,1144.124023,0.024253,0.054309,1.436473,353.298859,-173.419876,1133.825928,0.371138,-0.321307,-1.791985,-1222.418335,3.014007,1359.643921,0.015018,0.031286,1.566769,421.610992,-291.386353,1393.607666,0.287406,0.042268,-1.574569,-1234.897461,-213.798370,1356.076660,0.109576,0.131895,1.617844,420.637299,-102.519516,1404.457031,-0.326170,-0.112495,0.405419,-815.095947,-230.590408,1491.571289,-0.527309,0.975344,2.570522,-62.360523,22.031433,1438.576416
18,0,0.006425,0.033974,-1.597029,-1167.454346,-98.861748,1144.130615,0.025406,0.053897,1.435638,353.223694,-173.617630,1133.959839,0.367686,-0.353971,-1.793830,-1221.542969,2.728566,1359.813232,0.011523,0.027898,1.552910,422.012054,-291.947418,1393.568726,0.291323,0.068796,-1.594392,-1235.150513,-214.291046,1354.954712,0.119788,0.116462,1.625986,420.458832,-102.990036,1404.332764,-0.323563,-0.138244,0.418554,-825.469910,-231.458221,1493.742920,-0.540727,0.980590,2.539361,-65.474922,24.078247,1435.928101
19,0,0.056546,0.036971,-1.700979,-1165.753540,-98.800537,1144.407227,0.026772,0.052327,1.435801,353.146332,-173.857712,1134.081909,0.360060,-0.318066,-1.785665,-1221.079468,2.464838,1359.623657,0.013526,0.026730,1.556215,422.424957,-292.475037,1393.543213,0.273202,0.069748,-1.606670,-1235.393555,-214.451569,1354.534302,0.113030,0.115021,1.625670,420.099731,-103.698761,1404.546753,-0.324435,-0.172364,0.421504,-836.347900,-232.938141,1496.080688,-0.569961,0.978972,2.509714,-67.680122,25.852234,1433.695068
20,0,0.064122,0.032655,-1.709690,-1165.418701,-98.570183,1144.261719,0.028379,0.052106,1.436000,353.050018,-174.084717,1134.187378,0.354588,-0.327258,-1.796536,-1220.137573,2.223003,1359.525024,0.015382,0.026771,1.561185,422.857819,-293.040375,1393.490723,0.277445,0.067423,-1.607629,-1234.952026,-214.642639,1354.131714,0.107284,0.112887,1.624127,419.778229,-104.349953,1404.722656,-0.312067,-0.201288,0.440273,-847.395691,-234.181015,1497.901123,-0.580990,0.985296,2.489980,-69.346352,27.357252,1431.729858
21,0,0.038394,0.072470,-1.699779,-1165.681763,-98.026947,1143.935425,0.029730,0.051166,1.437437,352.920776,-174.372025,1134.296753,0.351687,-0.322743,-1.795225,-1219.406738,2.021281,1359.513672,0.014722,0.024847,1.565334,423.302429,-293.577423,1393.409668,0.276630,0.070836,-1.609028,-1234.395874,-214.804153,1353.807617,0.094777,0.109433,1.619862,419.468140,-104.882286,1404.800903,-0.301949,-0.230642,0.454672,-858.794312,-235.791458,1499.704834,-0.586029,0.990832,2.477125,-70.527702,28.444920,1430.171021
22,0,0.039579,0.071577,-1.698814,-1165.462891,-97.760452,1143.805054,0.031107,0.052365,1.438538,352.795227,-174.647095,1134.391113,0.353376,-0.321150,-1.793288,-1218.631836,1.836720,1359.463135,0.014167,0.022581,1.565406,423.621033,-294.004272,1393.323364,0.237269,0.132074,-1.598539,-1233.790771,-214.728882,1353.300781,0.070718,0.101933,1.611869,419.235260,-105.473518,1405.013428,-0.299239,-0.262236,0.464913,-870.531006,-237.731613,1501.442139,-0.574135,0.968287,2.472723,-71.174271,29.356724,1429.243408
23,0,0.041267,0.071082,-1.695241,-1165.149536,-97.474472,1143.639526,0.032028,0.052589,1.440069,352.676666,-174.954575,1134.436523,0.356599,-0.337405,-1.793908,-1218.057983,1.723207,1359.730347,0.014997,0.021302,1.567495,423.879120,-294.378876,1393.249634,0.234492,0.141191,-1.593698,-1233.304077,-214.978790,1353.140747,0.066383,0.101153,1.613092,418.943817,-105.897560,1405.082886,-0.290940,-0.290844,0.481495,-882.565125,-239.860718,1502.997437,-0.580295,0.981665,2.470229,-71.176216,29.821705,1428.728027
24,0,0.037389,0.072344,-1.692227,-1164.868042,-97.208771,1143.462158,0.037490,0.048465,1.444825,352.525513,-175.300201,1134.583740,0.347320,-0.317328,-1.800422,-1217.063965,1.422122,1359.511597,0.020832,0.024921,1.584005,423.931946,-294.742920,1393.195068,0.234630,0.128551,-1.587334,-1232.539673,-214.991440,1352.911377,0.087879,0.107081,1.626640,418.734863,-106.177971,1405.047607,-0.287806,-0.320161,0.492167,-894.992798,-242.463760,1504.416016,-0.580502,0.993173,2.471418,-70.874954,29.916769,1428.619995
25,0,0.028903,0.074314,-1.687925,-1164.541260,-96.952606,1143.277954,0.045993,0.052739,1.441178,352.594086,-175.553314,1134.620850,0.343624,-0.314509,-1.804711,-1216.244629,1.248774,1359.584717,0.016580,0.021989,1.572173,424.175873,-294.934418,1393.102905,0.245740,0.092126,-1.552564,-1230.855591,-216.175079,1353.395874,0.078545,0.103616,1.625995,418.545135,-106.394165,1404.979858,-0.278860,-0.349665,0.505661,-907.680603,-245.227097,1505.483887,-0.576746,1.005325,2.475747,-70.246887,29.763908,1428.883179
26,0,0.020520,0.077743,-1.686127,-1164.142334,-96.705109,1143.154907,0.047323,0.054127,1.443130,352.519897,-175.854568,1134.610229,0.358693,-0.312024,-1.782285,-1215.555054,1.155847,1359.637085,0.020782,0.022228,1.582276,424.286591,-295.084839,1392.982178,0.217869,0.130964,-1.545597,-1230.550537,-216.180283,1352.957275,0.079861,0.103839,1.629574,418.377747,-106.501717,1404.861572,-0.279153,-0.373943,0.515822,-920.572449,-248.238647,1506.462891,-0.565155,1.000938,2.486893,-69.086220,29.347786,1429.303711
27,0,0.015861,0.081165,-1.679618,-1163.717407,-96.343445,1143.041382,0.047966,0.055717,1.444966,352.431763,-176.152039,1134.596924,0.375309,-0.320232,-1.784817,-1215.550781,1.516957,1359.712158,0.016694,0.023937,1.573983,424.220734,-295.319092,1392.974243,0.234066,0.119974,-1.588597,-1230.338013,-216.059235,1352.780273,0.096112,0.122377,1.639150,418.105164,-106.700127,1404.917969,-0.267311,-0.389905,0.537399,-933.650452,-251.217270,1506.862793,-0.571142,1.028430,2.495643,-67.535049,28.942911,1430.097412
