Objects
100
,,Global Angle belly:belly,,,,,,Global Angle belly_mc:belly_mc,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle left_chest_mc:left_chest_mc,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_chest_mc:right_chest_mc,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_hand_mc:right_hand_mc,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,,,,,,,0.024366,0.063712,1.587684,409.616516,-224.660629,1133.059082,0.106592,-0.093858,-1.248959,-1181.435181,41.784573,1337.128784,0.028526,-0.026041,1.649221,486.800568,-327.922394,1379.717407,-0.066946,0.308423,-1.016511,-1082.901733,-152.845734,1334.662964,0.028456,0.094283,1.669701,467.661530,-141.295288,1394.429810,0.106881,-0.258004,0.335032,-571.639709,-191.786789,1457.024536,0.007139,1.566835,2.980394,345.583649,-71.875961,1484.226685
2,0,,,,,,,0.025527,0.066447,1.586024,409.394806,-224.372055,1133.076538,0.102055,-0.087465,-1.242223,-1182.064087,42.273598,1336.977783,0.027392,-0.025906,1.646033,486.564423,-327.466187,1379.737549,-0.073743,0.353725,-1.030968,-1082.003662,-151.638336,1334.768188,0.055713,0.105643,1.678017,468.030243,-140.886597,1394.369629,0.108497,-0.252773,0.327215,-566.902039,-191.873505,1455.412354,0.007532,1.566105,2.984317,348.742798,-72.143600,1483.286499
3,0,,,,,,,0.018871,0.060257,1.594309,409.519043,-224.038208,1133.060669,0.103159,-0.084606,-1.235295,-1182.749512,42.745296,1336.785400,0.026566,-0.025005,1.643398,486.323608,-327.025574,1379.790283,-0.079046,0.357039,-1.021549,-1081.432007,-150.591858,1334.352783,0.059167,0.110833,1.676180,468.382324,-140.481430,1394.244873,0.107271,-0.246535,0.321939,-563.567444,-191.962173,1454.187622,-0.032272,1.586059,2.989816,350.588776,-72.292732,1482.542114
4,0,,,,,,,0.020727,0.062234,1.592049,409.335510,-223.646210,1133.119385,0.103067,-0.087507,-1.229370,-1183.330200,43.252811,1336.691528,0.027028,-0.025770,1.639350,486.121124,-326.593811,1379.854492,-0.098952,0.353884,-0.999626,-1081.429443,-149.535828,1333.651978,0.070833,0.116784,1.678033,468.908386,-139.966110,1394.061035,0.107433,-0.228946,0.338314,-561.490112,-192.294327,1453.569092,-0.014882,1.587071,2.967820,351.172760,-72.308632,1482.089844
5,0,,,,,,,0.022892,0.063237,1.591044,409.198761,-223.226944,1133.219971,0.101511,-0.087959,-1.226572,-1183.753906,43.666512,1336.660034,0.027600,-0.023766,1.636957,485.908600,-326.205170,1379.985840,-0.083387,0.362739,-1.008804,-1080.832397,-148.742752,1333.750732,0.070008,0.115049,1.671337,469.382324,-139.557892,1394.065552,0.114045,-0.244860,0.315527,-560.354004,-192.432297,1452.664307,-0.016191,1.585874,2.967743,351.110046,-72.460068,1481.785156
6,0,,,,,,,0.022936,0.062798,1.589177,409.106384,-222.761337,1133.313721,0.100019,-0.085390,-1.225498,-1184.079224,43.969688,1336.662598,0.026944,-0.022137,1.632530,485.727386,-325.747986,1380.075439,-0.100870,0.364964,-0.998824,-1081.156982,-148.223831,1333.199951,0.063206,0.109448,1.661845,469.796661,-139.202789,1394.193848,0.120643,-0.231263,0.333104,-560.424683,-193.067520,1452.302002,-0.024996,1.586137,2.971053,350.358978,-72.449928,1481.911133
7,0,,,,,,,0.032401,0.071528,1.574488,408.607635,-222.435455,1133.384644,0.099480,-0.084660,-1.225146,-1184.249146,44.160839,1336.705688,0.025852,-0.022659,1.626244,485.619080,-325.305450,1380.151855,-0.097077,0.362468,-0.999656,-1081.441284,-148.080078,1333.050049,0.035314,0.119720,1.653626,470.335144,-138.236557,1393.915405,0.136462,-0.225163,0.334615,-561.218018,-193.758835,1451.987671,-0.023609,1.593071,2.980915,349.055023,-72.276825,1482.245117
8,0,,,,,,,0.032683,0.072146,1.572321,408.581268,-221.864929,1133.512817,0.099002,-0.084985,-1.226023,-1184.289063,44.241665,1336.808228,0.026060,-0.020919,1.624175,485.533264,-324.902985,1380.248535,-0.094684,0.361563,-1.002683,-1081.863647,-148.206390,1333.019165,0.051540,0.113368,1.652605,470.765808,-137.981812,1394.075073,0.153716,-0.226889,0.340694,-563.044495,-194.613358,1451.809692,-0.038579,1.605924,2.972883,346.660339,-71.813553,1482.682617
9,0,,,,,,,0.032418,0.072863,1.569333,408.593475,-221.304306,1133.611206,0.100705,-0.085989,-1.228312,-1184.171631,44.200268,1336.926880,0.024788,-0.008305,1.625975,485.588348,-324.376007,1380.168457,-0.091443,0.357353,-1.004153,-1082.397583,-148.553406,1333.193970,0.041803,0.107097,1.648755,471.288605,-137.593430,1394.196167,0.170222,-0.228312,0.346471,-565.692139,-195.602966,1451.735229,-0.014974,1.571451,2.976835,343.629059,-71.714867,1483.108887
