time,x,y,z
0.0,1.0,1.0,1.0
0.01,0.9803273602742427,1.011107817876064,0.9243281305077248
0.02,0.9612721024476342,1.0220352595497002,0.8544206418518587
0.03,0.9427808433506697,1.0327879723355258,0.7898583237147971
0.04,0.9248036995531784,1.0433711572100934,0.7302467790468762
0.05,0.9072941502851891,1.0537895848658672,0.675215321652209
0.06,0.890199928150778,1.0640486627661758,0.6243437125624742
0.07,0.8734828933214729,1.074152118698274,0.5773228847523021
0.08,0.8571146788544335,1.0841025261380786,0.5339212916902765
0.09,0.8410674829479476,1.0939023843111293,0.4939110166920976
0.1,0.8253140689414308,1.103554118192589,0.4570677729205823
0.11,0.8098277653154267,1.1130600785072438,0.423170903385664
0.12,0.7945824656916066,1.122422541729502,0.3920033809443922
0.13,0.7795526288327701,1.1316437100833956,0.3633518083009333
0.14,0.7647132786428444,1.1407257115425788,0.33700641800656994
0.15,0.7500400041668849,1.1496705998303294,0.31276107245970164
0.16,0.7355089595910745,1.1584803544195477,0.29041326390584354
0.17,0.7210968642427246,1.167156880532757,0.26976411443762816
0.18,0.7067831829907939,1.1757017604452515,0.2506359151096848
0.19,0.6925624667804623,1.1841148536984842,0.23297293765489024
0.2,0.6784259682323448,1.1923964062968742,0.21669463716871545
0.21,0.6643637563725086,1.2005468056910606,0.20171074632121594
0.22,0.6503661836158082,1.2085664129674787,0.1879329291807904
0.23,0.6364238857658862,1.21645556284836,0.17527478121418127
0.24,0.6225277820151727,1.2242145636917316,0.16365182928647448
0.25,0.6086690749448853,1.231843697491417,0.1529815316610994
0.26,0.5948392505250297,1.239343219877036,0.14318327799982886
0.27,0.5810300781143992,1.246713360114004,0.13417838936277926
0.28,0.5672336104605744,1.253954321103532,0.1258901182084105
0.29,0.5534421836999242,1.2610662793826284,0.11824364839352591
0.3,0.5396495755326076,1.268049255998387,0.11117615709013995
0.31,0.5258538731155058,1.2749027976816154,0.10466202655407283
0.32,0.5120522061599795,1.2816265673494516,0.09866727906324667
0.33,0.4982416663023221,1.2882202427311096,0.09315738190367562
0.34,0.48441945048703083,1.2946835003932737,0.08809848640138448
0.35000000000000003,0.470582860966807,1.3010160157400963,0.08345742792240873
0.36,0.45672930530255573,1.307217463013199,0.07920172587279448
0.37,0.44285629636338564,1.3132875152916714,0.07529958369859846
0.38,0.42896145232660965,1.3192258444920735,0.07171988888588808
0.39,0.41504249667774423,1.3250321213684326,0.06843221296074142
0.4,0.4010972582105099,1.3307060155122459,0.06540681148924712
0.41000000000000003,0.387123671026831,1.3362471953524788,0.06261462407750458
0.42,0.3731205982722403,1.3416552382566218,0.06003470348410069
0.43,0.35908827358058043,1.346929582045386,0.05765827436270009
0.44,0.3450264904330691,1.3520697244135258,0.05547247379001605
0.45,0.3309350729667101,1.3570751724283696,0.053464589561450844
0.46,0.3168138803103956,1.3619454420583466,0.051622099239822986
0.47000000000000003,0.302662806584906,1.3666800581729863,0.04993267015536727
0.48,0.28848178090291016,1.3712785545429198,0.04838415940573476
0.49,0.2742707673689649,1.375740473839878,0.04696461385599276
0.5,0.26002976507951553,1.3800653676366932,0.04566227013862485
0.51,0.24575880812289558,1.3842527964072986,0.044465554653530893
0.52,0.2314579655793269,1.3883023295267274,0.043363083568027
0.53,0.21712734152091973,1.3922135452711142,0.04234366281684554
0.54,0.20276739981172742,1.3959859962801562,0.04139929733125365
0.55,0.1883791982847717,1.3996191837754668,0.04052736923116718
0.56,0.1739636233537124,1.403112640143594,0.039723590585844626
0.5700000000000001,0.1595215668965999,1.4064659110702549,0.03898365641740792
0.58,0.1450539287375903,1.409678555279542,0.03830326772218745
0.59,0.1305616166469451,1.4127501445339246,0.037678131470722034
0.6,0.11604554634103185,1.4156802636342487,0.03710396060775891
0.61,0.10150664148232372,1.4184685104197368,0.03657647405225376
0.62,0.08694583367939951,1.4211144957679873,0.03609139669737071
0.63,0.07236406248694385,1.4236178435949758,0.0356444594104823
0.64,0.05776227540574694,1.4259781908550537,0.03523139903316949
0.65,0.043141427882704725,1.4281951875409495,0.034847958381221726
0.66,0.028502486641407768,1.4302684963477732,0.034489918158120796
0.67,0.01384667587628272,1.432197767214445,0.03415544222403655
0.68,-0.0008246310109510796,1.4339826473036337,0.033844027771407076
0.6900000000000001,-0.015510122486913316,1.4356228042167167,0.033554537249427197
0.7000000000000001,-0.030208488197988465,1.4371179202505906,0.033285789548202806
0.71,-0.0449184189703256,1.4384676923976705,0.03303655999875087
0.72,-0.05963860680983907,1.4396718323458908,0.03280558037299941
0.73,-0.07436774490220752,1.4407300664787044,0.03259153888378753
0.74,-0.08910452761287443,1.441642135875083,0.03239308018486542
0.75,-0.10384765048704825,1.4424077963095172,0.032208805370894315
0.76,-0.11859581024970206,1.4430268182520167,0.03203727197744654
0.77,-0.13334770480557379,1.4434989868681096,0.03187699398100548
0.78,-0.14810203323916596,1.443824102018843,0.03172644179896558
0.79,-0.16285749581474618,1.4440019782607825,0.031584042289632394
0.8,-0.17761279397634658,1.4440324448460133,0.03144817875222251
0.81,-0.19236654396892117,1.443915337085093,0.0313180561438079
0.8200000000000001,-0.20711722848064235,1.4436504903772356,0.031194133110429158
0.8300000000000001,-0.22186338162610375,1.4432377593780323,0.03107630958411009
0.84,-0.23660354155580893,1.4426770140533718,0.03096444185752812
0.85,-0.2513362500591473,1.4419681396415827,0.030858346651948976
0.86,-0.26606005256439297,1.4411110366534337,0.030757801117226705
0.87,-0.2807734981387058,1.440105620872134,0.03066254283180366
0.88,-0.2954751394881307,1.4389518233533323,0.03057226980271051
