x,y,z,p1_x,p1_y,p1_z,p2_x,p2_y,p2_z,p3_x,p3_y,p3_z
242.974319,584.741455,1330.669922,-72.822624,257.492523,1127.986328,-9.890765,198.147964,1396.187622,-190.682114,168.001129,1358.08667
254.185669,586.548462,1345.957886,-73.110802,257.335052,1127.888916,-9.972451,198.434036,1396.226929,-190.850449,168.172653,1358.104614
264.180786,587.491089,1361.623657,-73.334511,257.167297,1127.80481,-9.4991,197.572433,1395.104614,-190.971252,168.392502,1358.163696
272.168854,588.90271,1378.858765,-73.478401,257.017822,1127.745117,-9.989284,198.481415,1396.543213,-191.037582,168.617142,1358.248291
279.040558,588.443726,1395.827881,-73.561592,256.85321,1127.686646,-10.007995,198.462814,1396.787842,-191.071838,168.864182,1358.356689
284.311523,588.422607,1413.522339,-73.570282,256.682709,1127.638672,-9.934094,198.269211,1397.132935,-191.050873,169.143524,1358.498901
288.169128,588.532104,1432.029419,-73.530205,256.50592,1127.600464,-9.820293,198.236053,1397.412964,-190.998764,169.425827,1358.644775
292.952209,587.176941,1446.403564,-73.40229,256.322144,1127.565063,-9.776446,198.189423,1397.941284,-191.079544,169.747818,1358.680786
292.029419,586.41394,1468.167358,-73.211243,256.124664,1127.546875,-9.867889,197.826065,1398.717529,-190.952164,170.071396,1358.855347
292.165527,585.051697,1486.380127,-72.978996,255.934982,1127.580566,-9.668324,197.662933,1399.110718,-190.59903,170.41185,1359.164307
291.218262,583.4422,1504.213257,-72.687721,255.771454,1127.642334,-9.431419,197.401733,1399.363281,-190.377579,170.747513,1359.353394
289.252472,581.616333,1521.845703,-72.322601,255.56842,1127.687134,-9.111713,197.136169,1399.671143,-190.087402,171.122299,1359.575684
286.280762,579.450989,1538.983521,-72.148819,255.532349,1128.049805,-8.710771,196.764465,1399.999512,-189.927719,171.949066,1359.915039
282.383453,577.10199,1555.626343,-71.698341,255.476685,1128.136475,-8.273706,196.389542,1400.286987,-189.711502,172.185165,1359.952881
277.586914,574.604126,1571.936523,-71.080872,255.299683,1128.029053,-7.814289,195.956635,1400.557739,-189.324371,172.576584,1360.18042
271.932617,571.717285,1587.680054,-70.50985,255.131897,1128.029907,-7.29437,195.795731,1400.732544,-188.775208,173.068527,1360.603638
265.527161,568.685547,1602.571899,-69.921814,255.072769,1128.085083,-6.699575,195.352783,1400.901245,-188.440216,173.355103,1360.672363
258.357849,565.934509,1616.954834,-69.16935,254.88588,1128.014648,-6.344222,194.706055,1401.452759,-187.978394,173.747604,1360.921753
250.081696,563.107788,1630.615356,-68.588875,254.764862,1128.106689,-5.611156,194.257538,1401.512207,-187.479034,174.159958,1361.185303
241.206146,559.96521,1643.449829,-67.796227,254.657715,1127.932495,-5.101419,193.497192,1401.990845,-186.807846,174.67749,1361.661255
231.877213,557.137085,1655.589111,-67.112862,254.690857,1127.977295,-4.520533,193.077621,1402.402222,-186.313538,175.059464,1362.036621
221.777252,554.124512,1666.867676,-66.508766,254.492081,1128.084961,-3.682897,192.596527,1402.276489,-186.027267,175.284836,1362.333984
211.644409,551.474548,1676.770874,-65.837662,254.481262,1128.192017,-3.210508,192.226288,1402.39978,-185.774155,176.335403,1363.473877
200.664948,548.297791,1686.300171,-65.111626,254.503601,1128.328003,-2.484237,191.537643,1402.507935,-184.797638,176.429581,1363.239746
189.202042,545.33374,1694.839355,-64.379189,254.425735,1128.397461,-1.83176,191.029633,1402.777344,-184.155685,176.657318,1363.110474
177.487427,542.177979,1702.463135,-63.715973,254.322983,1128.401733,-1.244197,190.495636,1402.995361,-183.636261,177.072327,1363.419189
165.507904,538.853394,1709.453369,-62.995731,254.366669,1128.485107,-0.667263,189.868881,1403.154297,-183.12471,177.507813,1363.757202
153.580612,535.678833,1715.21875,-62.293053,254.332779,1128.539673,-0.166426,189.475006,1403.420898,-182.426376,177.898926,1364.183105
141.677872,532.411438,1720.184448,-61.543571,254.436462,1128.626343,0.126352,189.040787,1403.567627,-182.142822,178.343628,1364.327271
129.6577,529.035339,1724.526245,-60.813324,254.431046,1128.690918,0.781598,188.240723,1403.425171,-181.667648,178.761597,1364.567017
117.911606,525.931152,1727.692993,-60.186531,254.469452,1128.712036,1.111307,187.818237,1403.654297,-181.237427,179.087509,1364.736328
106.276909,522.512329,1730.232788,-59.492233,254.440613,1128.878296,1.214669,187.612305,1403.672119,-180.818939,179.448669,1364.886353
94.894028,519.468994,1732.074463,-58.837467,254.460007,1128.922119,1.649545,187.21666,1403.666382,-180.442032,179.813858,1365.005859
83.806534,516.576721,1733.051392,-58.184338,254.443024,1128.967163,2.51784,186.532593,1403.030029,-179.842316,180.052567,1365.192505
73.243393,513.744019,1733.643555,-57.552574,254.421234,1129.028564,2.973758,185.729034,1402.781616,-179.643631,180.474213,1365.201172
63.362606,511.026337,1733.830444,-57.186749,254.310852,1128.754883,3.052041,185.719879,1403.11499,-179.23912,180.757294,1365.296265
54.370041,508.255554,1733.841675,-56.455338,254.289536,1129.067017,3.43396,185.452179,1402.726929,-178.945465,180.873795,1365.430786
46.465263,505.98114,1733.572632,-55.945488,254.209839,1129.096924,3.809626,185.161987,1402.374512,-178.599579,181.057297,1365.474976
39.664734,503.997742,1733.203247,-55.468632,254.167618,1129.156128,4.363629,184.098038,1401.207886,-178.424225,181.458206,1365.655396
34.08429,501.926544,1733.227295,-55.058193,254.114471,1129.21167,4.637094,183.993622,1401.111084,-177.986572,181.487747,1365.754883
29.836212,500.164215,1733.415527,-54.734371,254.043701,1129.270264,4.886513,183.894669,1401.135254,-177.803482,181.556747,1365.703491
26.82522,498.74939,1733.755371,-54.499874,253.961868,1129.328491,5.120186,184.090805,1401.216553,-177.702377,181.574234,1365.632813
24.877703,497.856445,1734.381104,-54.334629,253.876389,1129.395142,4.988848,184.036621,1400.717407,-177.695801,181.525269,1365.544312
24.533287,497.365662,1734.940308,-54.232647,253.792343,1129.469482,5.161613,184.117004,1400.511597,-177.967529,181.528458,1365.327148
25.240158,497.120697,1735.682007,-54.212212,253.689972,1129.528442,4.89351,184.270401,1400.412964,-178.080719,181.387863,1365.205078
27.07584,497.207001,1736.59375,-54.283569,253.569839,1129.567627,4.094506,184.351456,1400.914551,-178.246796,181.199646,1365.075928
30.143257,498.003235,1737.308594,-54.431503,253.43335,1129.576782,4.260548,184.81636,1401.127686,-178.451736,181.004135,1364.960938
