Objects
100
,,Global Angle belly:belly,,,,,,Global Angle belly_mc:belly_mc,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle left_chest_mc:left_chest_mc,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_chest_mc:right_chest_mc,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_hand_mc:right_hand_mc,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.018015,0.045295,-1.578136,-1056.597168,-129.851974,1137.792847,,,,,,,,,,,,,-0.030682,-0.016582,1.609069,502.760040,-292.825470,1385.211426,0.117999,0.045369,-1.466881,-1099.322144,-245.392471,1336.599854,0.047542,0.062748,1.654383,499.117767,-103.293320,1394.671387,-0.048374,-0.833426,0.719594,-987.195129,-236.444717,1380.774658,0.483729,1.514846,3.080271,394.104675,-21.219738,1464.787109
2,0,-0.017462,0.045623,-1.576195,-1056.732544,-129.301422,1137.575806,,,,,,,,,,,,,-0.031356,-0.024740,1.605359,503.092529,-292.952942,1385.033325,0.106491,0.081996,-1.472842,-1099.215698,-244.296951,1335.813843,0.047694,0.061477,1.650041,499.372375,-103.632866,1394.724731,-0.040160,-0.835284,0.715915,-985.150330,-236.743942,1381.152100,0.486281,1.513631,3.089201,392.287781,-22.520771,1465.714600
3,0,-0.018199,0.042746,-1.564208,-1056.977539,-128.770737,1137.306152,,,,,,,,,,,,,-0.047730,-0.055680,1.564972,503.902863,-293.139221,1384.511475,0.080382,0.138937,-1.461982,-1098.719727,-244.231400,1336.113403,0.071919,0.072558,1.669332,499.676727,-103.937843,1395.174927,-0.041254,-0.833134,0.715837,-982.845337,-236.840698,1381.491089,0.491531,1.500299,3.097450,390.006134,-23.884304,1466.711792
4,0,-0.020970,0.055775,-1.581626,-1057.673340,-128.327469,1137.097412,-0.006606,0.030515,1.553961,444.434265,-194.210785,1127.766968,0.153053,-0.314681,-1.677609,-1092.487183,-23.485188,1329.810059,-0.049221,-0.056943,1.559380,504.207062,-293.417358,1384.549438,0.067373,0.268727,-1.471395,-1099.169800,-242.637375,1335.259521,0.068181,0.071752,1.663237,500.060425,-103.933372,1395.282104,-0.045503,-0.833820,0.711615,-980.254333,-237.030899,1381.973389,0.490187,1.486874,3.105177,387.334747,-25.323427,1467.651245
5,0,-0.024385,0.057512,-1.577611,-1057.976807,-127.856163,1136.923218,0.001589,0.036990,1.558883,444.451202,-194.170013,1128.067627,0.156545,-0.308768,-1.690705,-1092.980347,-23.114740,1329.856201,-0.046314,-0.056816,1.566158,504.810333,-293.407043,1384.319092,0.052999,0.219857,-1.442962,-1097.912109,-242.733505,1335.684204,0.065438,0.067829,1.664489,500.106873,-104.336296,1395.360962,-0.059865,-0.829863,0.711357,-977.309143,-237.185562,1382.382690,0.493513,1.472301,3.113302,384.211945,-26.687080,1468.566284
6,0,-0.028169,0.057709,-1.574937,-1058.235107,-127.313065,1136.744873,-0.010513,0.027171,1.555032,444.762726,-194.284409,1128.086304,0.121122,-0.295218,-1.705460,-1093.548340,-22.757887,1329.540771,-0.047239,-0.058340,1.565067,505.236084,-293.609406,1384.330078,0.046558,0.237163,-1.454258,-1097.130493,-242.361435,1335.504639,0.043241,0.061412,1.656713,500.223114,-104.634544,1395.457275,-0.061109,-0.830664,0.707569,-974.063232,-237.412628,1382.937378,0.470155,1.468945,3.123551,380.584991,-27.849075,1469.643188
7,0,0.012663,0.025221,-1.603322,-1057.925293,-126.671272,1136.651123,-0.007608,0.033165,1.554699,444.888947,-194.419724,1128.085205,0.145333,-0.290628,-1.682513,-1094.029053,-21.909464,1329.492432,-0.046494,-0.059109,1.565347,505.664337,-293.786682,1384.311279,0.045401,0.293972,-1.463883,-1096.612061,-241.498444,1335.286865,0.048406,0.062292,1.665079,500.583527,-104.867332,1395.652710,-0.060631,-0.829534,0.705566,-970.476440,-237.671524,1383.478760,0.474171,1.492378,3.117977,376.595825,-28.596966,1470.675903
8,0,0.014867,0.004371,-1.563558,-1058.143799,-126.100807,1136.292725,-0.002158,0.038013,1.547910,444.845917,-194.466385,1128.204468,0.137691,-0.289167,-1.677546,-1094.571655,-21.376005,1329.316284,-0.044113,-0.056842,1.566574,506.049561,-293.971619,1384.345093,0.046379,0.265106,-1.457908,-1095.447754,-241.408081,1335.624146,0.060142,0.070656,1.672182,500.733032,-105.107658,1395.736328,-0.061870,-0.826498,0.705429,-966.696472,-238.013107,1384.242676,0.493879,1.472214,3.118282,371.961212,-29.725269,1471.132446
9,0,-0.038463,0.072249,-1.565072,-1059.616211,-125.404984,1136.088501,-0.000238,0.039190,1.546637,445.013947,-194.470703,1128.265259,0.111667,-0.299164,-1.686997,-1095.107178,-21.086109,1329.236816,-0.041137,-0.053540,1.570122,506.484344,-294.140594,1384.387939,0.043770,0.271260,-1.450176,-1094.479614,-240.941971,1335.776123,0.068006,0.073984,1.675723,501.089386,-105.309410,1395.876953,-0.061253,-0.826205,0.703640,-962.568420,-238.210632,1384.957520,0.440352,1.489932,3.134037,366.713623,-30.421904,1471.806274
10,0,-0.016776,0.050222,-1.562678,-1059.512207,-124.736252,1136.212646,-0.002211,0.036830,1.543575,445.132599,-194.466400,1128.338501,0.111296,-0.298470,-1.689665,-1095.576660,-20.506363,1329.042725,-0.034359,-0.049658,1.573313,507.036987,-294.391418,1384.592896,0.064170,0.271062,-1.467623,-1093.023560,-241.070816,1336.693970,0.068149,0.072746,1.674126,501.449829,-105.474640,1396.001587,-0.065707,-0.824134,0.700890,-958.210327,-238.467804,1385.818970,0.462281,1.467930,3.127359,360.911621,-31.443909,1471.978760
11,0,-0.022143,0.046066,-1.550478,-1060.000122,-124.121712,1135.997192,-0.007014,0.032849,1.537796,445.218231,-194.438385,1128.414063,0.136157,-0.287977,-1.689795,-1095.880127,-19.536535,1328.856323,-0.036190,-0.052569,1.571059,507.539154,-294.570313,1384.565430,0.078229,0.274387,-1.486552,-1092.697632,-240.346344,1336.508545,0.055748,0.061586,1.661866,501.901794,-106.018120,1396.489868,-0.067415,-0.825946,0.697046,-953.564514,-238.625412,1386.573853,0.418524,1.486142,3.136038,354.546906,-32.063530,1472.486694
