Objects
100
,,Global Angle belly:belly,,,,,,Global Angle belly_mc:belly_mc,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle left_chest_mc:left_chest_mc,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_chest_mc:right_chest_mc,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_hand_mc:right_hand_mc,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
10,0,-0.064853,0.101562,-1.561076,-1185.422607,-88.221664,1140.544800,-0.015341,0.020328,1.438452,385.063721,-187.583954,1128.552368,0.096162,-0.287069,-1.703614,-1222.093750,21.642931,1352.164429,0.022346,-0.015808,1.513039,438.041992,-290.814850,1382.880981,0.043995,0.284555,-1.416537,-1207.724365,-197.872772,1352.606323,0.167017,0.069241,1.588816,453.125244,-103.799217,1395.302612,-0.020231,0.118929,0.200642,-683.970215,-250.856873,1394.576904,0.020523,1.575512,2.988085,235.098282,-14.008283,1460.070557
11,0,-0.067376,0.102221,-1.559541,-1185.371582,-87.982147,1140.582520,-0.014082,0.017430,1.441572,385.456421,-187.448364,1128.558350,0.114909,-0.273068,-1.711580,-1222.114502,21.486853,1352.106445,0.008121,-0.010883,1.495549,438.585754,-290.923187,1382.748901,0.045434,0.284847,-1.418559,-1207.676147,-197.650757,1352.651245,0.188010,0.100878,1.595995,453.636810,-103.520927,1394.710938,-0.025860,0.119858,0.202530,-684.390198,-250.190430,1393.755127,-0.011959,1.556674,2.994191,225.563095,-15.697268,1460.357178
12,0,-0.064833,0.099497,-1.560485,-1185.270142,-87.733597,1140.627808,-0.013759,0.016348,1.441088,385.714722,-187.339951,1128.619629,0.117196,-0.273530,-1.709957,-1222.045776,21.557159,1352.248169,-0.000484,-0.043724,1.497371,440.084534,-291.546112,1382.158325,0.065694,0.252562,-1.403328,-1208.123047,-197.715454,1352.760376,0.156280,0.096827,1.575443,454.236969,-103.840591,1394.882324,-0.030874,0.116567,0.207203,-685.660950,-249.255478,1393.925293,-0.039631,1.533264,2.997301,215.709549,-17.291273,1460.356201
13,0,-0.060326,0.095805,-1.556601,-1185.174438,-87.563614,1140.625610,-0.013774,0.016630,1.439708,385.993927,-187.247208,1128.722412,-1.404351,-0.004924,1.165099,-1222.231934,21.985792,1352.407593,0.003280,-0.038471,1.503733,440.605927,-291.754822,1382.287354,0.066112,0.255073,-1.408106,-1208.238281,-197.758209,1352.742310,0.135144,0.090940,1.558459,454.947815,-104.129730,1395.107666,-0.034022,0.105684,0.216194,-687.704346,-248.168198,1394.864380,-0.067990,1.519182,2.996555,205.599655,-18.725832,1460.229248
14,0,-0.058927,0.102769,-1.575610,-1184.942505,-87.277115,1140.817871,-0.011461,0.017330,1.438916,386.304260,-187.164017,1128.869019,-1.390826,-0.012700,1.157364,-1222.088135,21.728769,1352.225342,0.004818,-0.032863,1.493016,440.871765,-291.767975,1382.644165,0.061486,0.262892,-1.412561,-1208.508789,-197.927841,1352.611694,0.158398,0.096327,1.572978,455.317505,-104.221779,1395.252808,-0.035736,0.093500,0.227165,-690.590393,-247.041687,1396.500000,-0.090990,1.518254,2.983839,195.292191,-19.811712,1460.119629
15,0,-0.055816,0.103348,-1.576600,-1184.823242,-87.148201,1140.856079,-0.008918,0.017653,1.440256,386.675476,-187.105164,1129.020264,-1.383261,-0.001692,1.145022,-1221.583984,21.744974,1352.378906,0.005360,-0.033029,1.492210,441.462524,-291.932983,1382.768799,0.062781,0.264381,-1.414895,-1209.089233,-198.246094,1352.364746,0.136479,0.090759,1.555140,456.010590,-104.549217,1395.432129,-0.036325,0.076740,0.240230,-694.283813,-245.891541,1398.633667,-0.127097,1.516583,2.975817,184.926773,-20.902161,1459.683472
16,0,-0.050760,0.104946,-1.579256,-1184.730225,-87.103035,1140.799561,-0.006189,0.018017,1.442417,386.998108,-187.080063,1129.183960,0.112784,-0.268116,-1.703659,-1220.908936,21.187716,1352.637939,0.012256,-0.034683,1.512511,442.373840,-292.394775,1382.787842,0.065103,0.263689,-1.427075,-1208.876587,-198.156448,1352.585815,0.130417,0.067614,1.563509,456.575958,-104.833580,1395.702026,-0.036812,0.053759,0.254167,-698.693604,-244.843948,1401.300903,-0.264300,1.637498,2.918884,173.848969,-20.385414,1460.029785
17,0,-0.079514,0.071667,-1.535821,-1184.793823,-87.287941,1140.614380,-0.003888,0.021198,1.441324,387.285919,-187.080551,1129.350464,0.103487,-0.295477,-1.692171,-1220.550537,21.311707,1353.183960,-0.004816,-0.042030,1.488347,443.382202,-292.483856,1382.447021,0.058791,0.266328,-1.422301,-1209.582275,-198.624420,1352.199341,0.116554,0.066715,1.548016,457.120270,-105.208969,1395.905273,-0.037414,0.029638,0.271221,-703.605347,-243.935852,1404.283936,-0.295389,1.642067,2.895010,163.181717,-21.067932,1459.413940
18,0,-0.063310,0.096203,-1.570137,-1184.338379,-87.065773,1140.780029,-0.011540,0.027014,1.439566,387.589813,-187.036819,1129.338013,0.113620,-0.270604,-1.678514,-1220.400024,20.815346,1353.100464,0.014759,-0.029798,1.508965,443.291260,-292.545074,1383.125000,0.069633,0.244372,-1.408227,-1209.871948,-199.108261,1352.005127,0.140858,0.076125,1.563003,457.371429,-105.393822,1396.169067,-0.035262,0.002344,0.289087,-709.175049,-242.939636,1407.762573,-0.319112,1.644502,2.870815,152.772156,-21.680021,1458.580200
19,0,-0.056139,0.095759,-1.574297,-1184.190674,-87.049316,1140.649658,-0.041796,0.012591,1.429154,388.160645,-187.281631,1129.183105,0.110892,-0.266438,-1.689843,-1219.891846,20.620863,1353.040405,0.016166,-0.016631,1.509198,443.823120,-292.731049,1383.526245,0.070687,0.248276,-1.411457,-1210.137939,-199.549561,1351.756958,0.131414,0.085004,1.556063,457.687042,-105.749535,1396.524658,-0.037247,-0.019635,0.304214,-715.625793,-242.255524,1411.506836,-0.340156,1.644810,2.848902,142.541550,-22.178717,1457.716919
20,0,-0.024511,0.086356,-1.572303,-1184.598145,-87.350433,1140.399536,-0.038533,0.008072,1.425191,388.421051,-187.454361,1129.396729,0.109507,-0.258397,-1.690779,-1219.387329,20.345581,1352.931396,0.012416,-0.020200,1.519321,444.920776,-293.179443,1383.325195,0.058700,0.270931,-1.427381,-1210.709106,-199.950317,1351.370972,0.111410,0.081505,1.544430,458.103119,-105.911423,1396.577637,-0.043173,-0.046323,0.318972,-722.814758,-241.814896,1415.515137,-0.362550,1.623782,2.839288,132.650085,-22.907799,1456.795166
21,0,-0.023518,0.085334,-1.597508,-1184.234131,-87.207893,1140.422974,-0.045408,0.010241,1.425178,388.707550,-187.469788,1129.354492,0.107575,-0.254334,-1.693871,-1218.666626,20.019911,1352.719360,0.021048,-0.010722,1.514466,445.180237,-293.516235,1383.552002,0.058044,0.273668,-1.427990,-1211.071167,-200.343918,1351.045410,0.098160,0.081561,1.538150,458.536438,-106.210228,1396.673218,-0.047761,-0.068985,0.328083,-730.741821,-241.598526,1419.605225,-0.402935,1.636371,2.809415,122.428955,-23.405663,1456.252075
22,0,0.041030,0.065128,-1.607619,-1184.770508,-87.752251,1139.386597,-0.043580,0.011387,1.425550,388.964050,-187.599335,1129.431030,0.179108,-0.243667,-1.711498,-1218.716919,19.335539,1352.122070,0.015866,-0.012848,1.514216,445.838806,-293.596497,1383.761841,0.056405,0.273426,-1.430291,-1211.231689,-200.569489,1350.941772,0.085786,0.079870,1.530622,458.978943,-106.623116,1396.862061,-0.046595,-0.094015,0.340751,-739.248230,-241.674393,1423.693237,-0.439747,1.612092,2.801046,112.554985,-24.314722,1455.648193
23,0,0.057263,0.056661,-1.620596,-1185.192749,-88.106041,1139.034180,-0.041708,0.012342,1.427245,389.268402,-187.742218,1129.517456,0.148359,-0.259804,-1.701470,-1217.880493,19.390446,1352.419312,0.011021,-0.025558,1.505353,447.141418,-293.994324,1383.587280,0.061811,0.251774,-1.412605,-1212.162231,-200.851501,1350.308472,0.082932,0.079463,1.530322,459.326935,-106.922501,1396.912720,-0.051428,-0.127961,0.344715,-748.572876,-241.982025,1427.640747,-0.447072,1.595838,2.784894,103.113785,-24.941357,1455.226563
24,0,0.027110,0.058389,-1.595472,-1184.944092,-88.070564,1138.545898,-0.037794,0.014308,1.431431,389.632202,-187.952438,1129.536743,0.182421,-0.249734,-1.713522,-1217.713257,18.977528,1351.838989,0.020684,-0.015466,1.528506,447.494446,-294.459106,1383.708130,0.094175,0.234047,-1.416111,-1211.551514,-201.199066,1350.382690,0.078481,0.078068,1.530154,459.656860,-107.282104,1396.992432,-0.042052,-0.148014,0.367060,-758.387207,-242.228897,1431.639038,-0.469392,1.561661,2.786408,93.770027,-25.943695,1454.749390
25,0,0.014810,0.064435,-1.614938,-1184.707642,-87.769386,1138.990112,-0.002835,0.029085,1.444473,389.470520,-188.005539,1129.930664,0.178847,-0.246067,-1.741671,-1216.775391,18.895897,1351.773071,0.033997,-0.003497,1.527527,447.928192,-294.659332,1383.813354,0.110857,0.239291,-1.435041,-1212.579468,-201.310837,1349.497925,0.142598,0.098769,1.564295,459.953491,-107.524223,1396.846924,-0.030940,-0.193839,0.364561,-768.401001,-242.457443,1435.269165,-0.456375,1.496792,2.808575,84.941406,-27.100327,1453.959961
26,0,0.013607,0.063959,-1.616800,-1184.417480,-87.595528,1139.013184,-0.001886,0.025802,1.446268,389.635345,-188.308182,1130.136719,0.182016,-0.242386,-1.743153,-1216.081299,18.614679,1351.717163,0.008480,-0.031292,1.500781,449.270264,-295.039825,1383.540283,0.094930,0.245900,-1.435475,-1213.106079,-201.485809,1348.825195,0.136419,0.097286,1.560362,460.323792,-107.929832,1396.938721,-0.027024,-0.220892,0.375116,-779.178772,-243.244705,1439.154907,-0.550926,1.525143,2.772949,75.074318,-27.328962,1453.629028
27,0,0.013314,0.062391,-1.617241,-1184.142578,-87.452888,1139.015991,-0.004687,0.027491,1.444913,389.788574,-188.611908,1130.305420,0.190092,-0.245304,-1.740159,-1215.461426,18.368267,1351.631348,0.008182,-0.027002,1.505820,449.938263,-295.432770,1383.618652,0.092426,0.253529,-1.441759,-1213.423584,-201.731033,1348.502441,0.132147,0.079130,1.563457,460.425354,-108.490028,1397.420532,-0.020003,-0.246750,0.382473,-790.489075,-244.358597,1442.922485,-0.574208,1.508557,2.752226,65.522644,-27.775297,1452.938110
28,0,0.006464,0.076879,-1.615481,-1183.291138,-86.685036,1139.708740,-0.006205,0.025183,1.445610,390.015564,-188.822159,1130.307373,0.181750,-0.249986,-1.737099,-1214.692871,18.237190,1351.479004,0.024869,-0.012204,1.530688,449.910675,-295.709442,1384.112549,0.099695,0.261977,-1.451546,-1213.513916,-202.054092,1348.475342,0.113488,0.070287,1.554924,460.705902,-108.896652,1397.572754,-0.054573,-0.244133,0.407783,-802.512878,-245.871017,1446.721558,-0.623169,1.476853,2.737800,56.559406,-27.807693,1452.339966
29,0,-0.013963,0.078859,-1.591871,-1182.503174,-86.352028,1139.803345,-0.008128,0.028574,1.447927,390.209808,-189.193176,1130.518677,0.181455,-0.249098,-1.750765,-1213.955688,18.091246,1351.468018,0.011149,-0.036517,1.511052,451.245239,-296.233978,1383.503662,0.100601,0.262957,-1.455081,-1213.594482,-202.244537,1348.313477,0.116796,0.088919,1.555730,461.037994,-108.979378,1397.407471,-0.042765,-0.263455,0.429981,-814.501282,-247.182205,1449.972656,-0.654397,1.436174,2.725627,47.634216,-28.024956,1451.612061
30,0,-0.023184,0.084557,-1.606212,-1181.876465,-85.880043,1140.141968,-0.009561,0.028683,1.450254,390.450775,-189.470795,1130.584229,0.180240,-0.250134,-1.753737,-1213.195679,17.862402,1351.487305,0.011778,-0.037371,1.510368,451.966949,-296.497620,1383.539307,0.078128,0.262436,-1.444868,-1213.111206,-202.340454,1348.630615,0.112844,0.089270,1.554501,461.237793,-109.260223,1397.541016,-0.044760,-0.286960,0.446226,-827.042908,-248.514206,1453.325073,-0.657215,1.406645,2.707834,38.977749,-28.488485,1451.048096
31,0,-0.027933,0.086257,-1.617329,-1181.483887,-85.728302,1140.320923,-0.008449,0.029559,1.452717,390.686707,-189.744537,1130.639160,0.181680,-0.255739,-1.753558,-1212.430298,17.674696,1351.434448,0.029116,-0.026848,1.543851,452.238678,-296.908081,1383.787720,0.088781,0.267015,-1.455139,-1213.297852,-202.549164,1348.251099,0.125857,0.092403,1.562557,461.434723,-109.612518,1397.698730,-0.049738,-0.329204,0.449047,-840.226196,-250.293549,1456.942627,-0.609138,1.371465,2.681184,30.802126,-28.270758,1451.184204
32,0,-0.062918,0.090386,-1.612108,-1180.479370,-85.179344,1140.405884,0.000708,0.026314,1.455047,390.870544,-190.082733,1130.834106,0.178157,-0.256169,-1.759408,-1211.691040,17.532047,1351.244751,0.028983,-0.028931,1.550644,452.961060,-297.201599,1383.840698,0.094559,0.273328,-1.464295,-1213.348145,-202.750473,1347.992798,0.113471,0.096518,1.553632,461.453857,-109.939919,1397.843140,-0.048645,-0.352009,0.462174,-853.236389,-251.963913,1459.976685,-0.649393,1.317485,2.696929,23.261110,-29.518194,1450.750854
33,0,-0.054816,0.090058,-1.611628,-1180.146606,-85.269615,1140.409668,0.001100,0.027042,1.456635,391.046631,-190.348221,1130.914551,0.184494,-0.259948,-1.762032,-1211.049805,17.367815,1351.099731,0.030778,-0.027467,1.554446,453.641113,-297.565094,1383.941528,0.099252,0.280722,-1.473673,-1213.379150,-202.973328,1347.722168,0.107511,0.089781,1.553564,461.510284,-110.368202,1398.111328,-0.048062,-0.377892,0.472722,-866.605347,-253.785965,1462.740967,-0.640529,1.253173,2.696261,15.868943,-30.052603,1450.479736
34,0,-0.074534,0.090639,-1.572172,-1179.414185,-85.288628,1140.263550,-0.007072,0.032259,1.456333,391.233459,-190.561142,1130.851440,0.194454,-0.275938,-1.714251,-1208.239014,17.179691,1351.378784,0.030481,-0.026304,1.556378,454.258484,-297.939331,1384.061401,0.100718,0.284217,-1.480362,-1213.353394,-203.185547,1347.549805,0.101723,0.085408,1.555301,461.854797,-110.603462,1397.936890,-0.051824,-0.403973,0.485927,-880.265808,-255.575714,1465.226074,-0.647123,1.215603,2.672559,8.935059,-30.277195,1450.331787
35,0,-0.058901,0.089864,-1.579430,-1178.992065,-85.361137,1140.115967,-0.008277,0.032083,1.455849,391.397125,-190.881973,1130.920532,0.155700,-0.280142,-1.748454,-1208.857666,17.337318,1351.509277,0.028699,-0.028718,1.561861,455.007538,-298.375732,1384.101318,0.106780,0.273525,-1.483040,-1213.145264,-203.389236,1347.464844,0.100385,0.083136,1.557344,461.761108,-110.972382,1398.031128,-0.030006,-0.442159,0.488206,-893.424805,-256.686890,1466.176392,-0.652380,1.177925,2.660584,2.274174,-30.164251,1449.735840
