Objects
100
,,Global Angle belly:belly,,,,,,Global Angle belly_mc:belly_mc,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle left_chest_mc:left_chest_mc,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_chest_mc:right_chest_mc,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_hand_mc:right_hand_mc,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
11,0,-0.071651,0.102545,-1.411592,-1150.340698,-64.428200,1137.372925,0.002839,0.047577,1.390136,449.563446,-177.832443,1132.433716,0.107871,-0.241132,-1.335006,-1215.400269,36.552593,1326.958252,0.007524,-0.022394,1.524057,507.520691,-291.465698,1386.271729,-0.013408,0.218253,-1.147268,-1144.654541,-169.106354,1342.458984,0.140054,0.102887,1.543255,523.635254,-105.202293,1399.143555,-0.053862,-0.190242,0.329306,-640.563110,-187.903778,1456.185303,-0.407226,0.968882,2.801036,71.285614,-61.520161,1476.757813
12,0,-0.088423,0.098724,-1.398342,-1150.337402,-64.069580,1137.568726,0.014045,0.055163,1.394773,449.387573,-178.281281,1132.681519,0.136972,-0.224769,-1.340904,-1216.351318,36.473415,1326.546387,0.002309,-0.025333,1.524352,508.398163,-292.211761,1386.307251,-0.014636,0.210739,-1.141079,-1144.100952,-168.042587,1343.258911,0.132374,0.088292,1.546854,523.347473,-105.967339,1399.209595,-0.043268,-0.147673,0.335852,-631.959595,-189.396332,1453.684692,-0.417284,0.957384,2.779758,62.476673,-60.089294,1475.153931
13,0,-0.092839,0.098817,-1.387947,-1150.469971,-63.879810,1137.572021,0.013192,0.055137,1.394693,449.319519,-178.744141,1132.778564,0.101609,-0.244920,-1.319418,-1217.229248,37.431511,1327.004517,0.002709,-0.025188,1.529959,509.103607,-293.250092,1386.485840,-0.037963,0.233720,-1.140119,-1143.361328,-166.973694,1343.767212,0.126827,0.087935,1.546859,522.774780,-107.164726,1399.646851,-0.029754,-0.118136,0.328159,-624.637695,-190.896637,1451.403809,-0.435488,0.942075,2.747989,54.953926,-58.332508,1473.455566
14,0,-0.092647,0.088858,-1.339170,-1150.628662,-63.813904,1137.499268,0.008533,0.036203,1.398536,449.395660,-179.105942,1132.631592,0.096580,-0.245866,-1.306816,-1218.098999,37.840958,1326.936523,0.015496,-0.018125,1.550137,509.703400,-294.365051,1386.819214,-0.044389,0.236092,-1.132557,-1142.948853,-165.970901,1344.320557,0.124262,0.082221,1.553112,522.541016,-107.800133,1399.345337,-0.014041,-0.080679,0.304304,-618.973938,-192.539612,1448.787109,-0.457345,0.933186,2.718737,48.521652,-56.294796,1471.318115
15,0,-0.093849,0.095537,-1.350129,-1150.947998,-63.668697,1137.421631,0.008701,0.035631,1.398364,449.218964,-179.591324,1132.723755,0.092888,-0.249316,-1.297056,-1218.919067,38.288677,1326.758179,0.016149,-0.018447,1.558173,510.470520,-295.394470,1386.974731,-0.018958,0.228671,-1.131955,-1143.414917,-165.593887,1344.244385,0.124106,0.082239,1.560427,521.979065,-108.922508,1399.707642,-0.013075,-0.059816,0.300044,-614.329224,-194.242050,1446.875000,-0.481616,0.943796,2.678579,42.878250,-54.091473,1468.997681
16,0,-0.099140,0.090760,-1.323720,-1150.759521,-63.391590,1137.382080,-0.013438,0.035244,1.388461,449.312134,-180.239716,1132.469116,0.091748,-0.251393,-1.295320,-1219.568115,38.816849,1326.663086,-0.006601,-0.035245,1.531908,511.788422,-296.191986,1386.222778,-0.019404,0.217875,-1.122526,-1143.268433,-164.688583,1344.711060,0.149204,0.082155,1.580485,521.264221,-109.854568,1400.003662,-0.003595,-0.045309,0.295359,-610.759888,-196.049515,1445.502930,-0.493552,0.958996,2.644710,38.368015,-51.742340,1466.554810
17,0,-0.097851,0.097085,-1.337837,-1151.099976,-63.233608,1137.328613,-0.011714,0.035004,1.390117,449.089661,-180.826294,1132.513306,0.090004,-0.253343,-1.292088,-1220.181763,39.295113,1326.493652,0.001120,-0.028068,1.536893,512.195007,-297.131805,1386.650757,-0.013951,0.209224,-1.121195,-1143.384277,-163.951340,1345.011597,0.146669,0.077967,1.586255,520.518738,-110.957710,1400.367554,0.007408,-0.033670,0.288951,-608.317444,-197.609619,1444.671143,-0.512957,0.975373,2.616266,34.834877,-49.566494,1464.293579
18,0,-0.100026,0.092217,-1.316978,-1150.829468,-62.938660,1137.314941,-0.013659,0.041571,1.391592,448.711792,-181.686234,1132.883179,0.087844,-0.252970,-1.291168,-1220.571655,39.739483,1326.399170,-0.006663,-0.037514,1.535657,513.050964,-298.057404,1386.422119,-0.013202,0.206267,-1.123132,-1143.271362,-163.252396,1345.435547,0.137256,0.072433,1.587627,519.896912,-111.906464,1400.637451,0.014386,-0.027758,0.286940,-606.984619,-198.876068,1444.433105,-0.527724,0.992968,2.593015,32.152958,-47.710964,1462.365601
19,0,-0.091894,0.085535,-1.306067,-1151.348022,-62.781990,1137.354492,0.019181,0.058914,1.404048,448.199524,-182.145157,1133.176270,0.071208,-0.253965,-1.303631,-1220.900757,39.957920,1326.295410,-0.003525,-0.036266,1.548686,513.512939,-298.781250,1386.540649,-0.012305,0.204285,-1.125931,-1143.242310,-162.713425,1345.748413,0.117768,0.066611,1.582514,519.386169,-112.585533,1400.770752,0.014835,-0.045278,0.260033,-606.795898,-199.477676,1444.664429,-0.531011,1.000949,2.578019,30.289423,-46.202396,1460.947388
20,0,-0.093836,0.081364,-1.291226,-1151.062134,-62.554329,1137.323608,0.022189,0.059820,1.407221,447.985321,-182.835037,1133.223389,0.070258,-0.255728,-1.302446,-1221.025879,40.216812,1326.223755,0.006441,-0.027268,1.554630,513.696716,-299.497894,1386.835938,-0.011237,0.201923,-1.128225,-1143.272217,-162.348602,1345.997314,0.100123,0.063957,1.578083,518.950317,-113.155434,1400.825806,0.015795,-0.049076,0.259152,-607.407166,-200.000214,1445.643799,-0.546520,1.002065,2.571845,29.287380,-45.078781,1460.094727
